00:00,Monday,Primeval Forest
01:22,Monday,Primeval Forest
02:37,Monday,Skypetal Plains
03:55,Monday,Primeval Forest
05:11,Monday,Frostscale Basin
06:30,Monday,Primeval Forest
07:49,Monday,Skypetal Plains
09:13,Monday,Primeval Forest
10:36,Monday,Skypetal Plains
12:09,Monday,Primeval Forest
13:43,Monday,Frostscale Basin
15:26,Monday,Frostscale Basin
17:09,Monday,Primeval Forest
18:39,Monday,Primeval Forest
20:08,Monday,Skypetal Plains
21:49,Monday,Skypetal Plains
23:08,Monday,Primeval Forest
00:00,Tuesday,Frostscale Basin
01:16,Tuesday,Primeval Forest
02:39,Tuesday,Frostscale Basin
04:18,Tuesday,Skypetal Plains
05:57,Tuesday,Primeval Forest
07:22,Tuesday,Primeval Forest
08:42,Tuesday,Frostscale Basin
10:16,Tuesday,Skypetal Plains
11:42,Tuesday,Frostscale Basin
13:20,Tuesday,Skypetal Plains
14:38,Tuesday,Skypetal Plains
15:56,Tuesday,Primeval Forest
17:34,Tuesday,Skypetal Plains
19:05,Tuesday,Skypetal Plains
20:31,Tuesday,Frostscale Basin
21:49,Tuesday,Frostscale Basin
23:05,Tuesday,Frostscale Basin
00:00,Wednesday,Skypetal Plains
01:36,Wednesday,Primeval Forest
03:05,Wednesday,Skypetal Plains
04:35,Wednesday,Skypetal Plains
06:08,Wednesday,Primeval Forest
07:48,Wednesday,Primeval Forest
09:26,Wednesday,Frostscale Basin
10:44,Wednesday,Primeval Forest
12:11,Wednesday,Primeval Forest
13:30,Wednesday,Frostscale Basin
14:57,Wednesday,Frostscale Basin
16:40,Wednesday,Skypetal Plains
18:03,Wednesday,Frostscale Basin
19:42,Wednesday,Skypetal Plains
21:22,Wednesday,Frostscale Basin
22:37,Wednesday,Primeval Forest
00:08,Thursday,Frostscale Basin
01:25,Thursday,Primeval Forest
03:08,Thursday,Skypetal Plains
04:26,Thursday,Skypetal Plains
05:53,Thursday,Skypetal Plains
07:17,Thursday,Skypetal Plains
08:52,Thursday,Skypetal Plains
10:07,Thursday,Primeval Forest
11:44,Thursday,Frostscale Basin
13:14,Thursday,Primeval Forest
14:57,Thursday,Primeval Forest
16:22,Thursday,Primeval Forest
17:53,Thursday,Primeval Forest
19:19,Thursday,Frostscale Basin
20:40,Thursday,Frostscale Basin
21:56,Thursday,Primeval Forest
23:25,Thursday,Primeval Forest
00:00,Friday,Skypetal Plains
01:44,Friday,Primeval Forest
03:06,Friday,Primeval Forest
04:38,Friday,Frostscale Basin
06:10,Friday,Primeval Forest
07:52,Friday,Frostscale Basin
09:23,Friday,Skypetal Plains
10:42,Friday,Skypetal Plains
12:09,Friday,Skypetal Plains
13:36,Friday,Frostscale Basin
14:57,Friday,Skypetal Plains
16:23,Friday,Skypetal Plains
17:57,Friday,Frostscale Basin
19:25,Friday,Frostscale Basin
20:59,Friday,Primeval Forest
22:19,Friday,Frostscale Basin
23:51,Friday,Primeval Forest
00:52,Saturday,Frostscale Basin
02:30,Saturday,Primeval Forest
04:00,Saturday,Primeval Forest
05:28,Saturday,Skypetal Plains
06:51,Saturday,Skypetal Plains
08:11,Saturday,Frostscale Basin
09:56,Saturday,Skypetal Plains
11:36,Saturday,Frostscale Basin
12:54,Saturday,Skypetal Plains
14:25,Saturday,Primeval Forest
16:01,Saturday,Primeval Forest
17:25,Saturday,Skypetal Plains
19:01,Saturday,Skypetal Plains
20:46,Saturday,Primeval Forest
22:27,Saturday,Frostscale Basin
23:57,Saturday,Skypetal Plains
01:15,Sunday,Primeval Forest
02:30,Sunday,Primeval Forest
04:06,Sunday,Primeval Forest
05:34,Sunday,Frostscale Basin
07:06,Sunday,Skypetal Plains
08:47,Sunday,Skypetal Plains
10:23,Sunday,Skypetal Plains
11:55,Sunday,Frostscale Basin
13:18,Sunday,Primeval Forest
14:37,Sunday,Primeval Forest
16:00,Sunday,Skypetal Plains
17:44,Sunday,Primeval Forest
19:10,Sunday,Skypetal Plains
20:44,Sunday,Frostscale Basin
22:23,Sunday,Skypetal Plains